grafana                      grafana-66f7767db6-b79rn                                          1/1     Running     0                134m    10.42.9.229    k3d-agent-2-0              <none>           <none>
observability-logs           alloy-87gfn                                                       2/2     Running     0                74m     10.42.7.104    k3d-agent-0-0              <none>           <none>
observability-logs           alloy-kwrz5                                                       2/2     Running     0                74m     10.42.13.142   k3d-agent-3-0              <none>           <none>
observability-logs           alloy-vf6xn                                                       2/2     Running     0                74m     10.42.8.225    k3d-agent-1-0              <none>           <none>
observability-logs           alloy-x6pv2                                                       2/2     Running     0                74m     10.42.10.68    k3d-aiot-hetzner-agent-3   <none>           <none>
observability-logs           alloy-zdqt2                                                       2/2     Running     0                74m     10.42.9.247    k3d-agent-2-0              <none>           <none>
observability-logs           loki-0                                                            2/2     Running     0                5h29m   10.42.13.137   k3d-agent-3-0              <none>           <none>
observability-logs           loki-canary-4n6jq                                                 1/1     Running     0                5d4h    10.42.10.3     k3d-aiot-hetzner-agent-3   <none>           <none>
observability-logs           loki-canary-5m5l4                                                 1/1     Running     0                5d4h    10.42.8.2      k3d-agent-1-0              <none>           <none>
observability-logs           loki-canary-6qr5w                                                 1/1     Running     2 (3d19h ago)    5d5h    10.42.0.218    cb50aad492c3               <none>           <none>
observability-logs           loki-canary-cnc6l                                                 1/1     Running     0                5d4h    10.42.9.43     k3d-agent-2-0              <none>           <none>
observability-logs           loki-canary-shwmv                                                 1/1     Running     0                5d1h    10.42.13.2     k3d-agent-3-0              <none>           <none>
observability-logs           loki-canary-x9vdg                                                 1/1     Running     0                5d4h    10.42.7.5      k3d-agent-0-0              <none>           <none>
observability-logs           loki-gateway-56c648b9b-s9nnn                                      1/1     Running     3 (3d19h ago)    5d5h    10.42.0.233    cb50aad492c3               <none>           <none>
victoriametrics              victoriametrics-grafana-f56bc7d89-pb2l6                           2/2     Running     0                135m    10.42.8.221    k3d-agent-1-0              <none>           <none>
victoriametrics              victoriametrics-kube-state-metrics-68545d7f47-gzrkl               1/1     Running     1 (3d19h ago)    5d3h    10.42.0.240    cb50aad492c3               <none>           <none>
victoriametrics              victoriametrics-prometheus-node-exporter-276qt                    1/1     Running     0                26h     172.18.0.6     cb50aad492c3               <none>           <none>
victoriametrics              victoriametrics-prometheus-node-exporter-jhrwm                    1/1     Running     0                26h     172.18.0.3     k3d-agent-2-0              <none>           <none>
victoriametrics              victoriametrics-prometheus-node-exporter-lx7gh                    1/1     Running     0                26h     172.18.0.2     k3d-agent-1-0              <none>           <none>
victoriametrics              victoriametrics-prometheus-node-exporter-sxmv5                    1/1     Running     0                26h     172.18.0.5     k3d-aiot-hetzner-agent-3   <none>           <none>
victoriametrics              victoriametrics-prometheus-node-exporter-v25kg                    1/1     Running     0                26h     172.18.0.4     k3d-agent-3-0              <none>           <none>
victoriametrics              victoriametrics-prometheus-node-exporter-w99lf                    1/1     Running     0                26h     172.18.0.7     k3d-agent-0-0              <none>           <none>
victoriametrics              victoriametrics-victoria-metrics-operator-6dfdb79c56-sf2s7        1/1     Running     0                4d13h   10.42.13.21    k3d-agent-3-0              <none>           <none>
victoriametrics              vmagent-victoriametrics-victoria-metrics-k8s-stack-56db6cdc8tp4   2/2     Running     0                5d3h    10.42.7.7      k3d-agent-0-0              <none>           <none>
victoriametrics              vmalert-victoriametrics-victoria-metrics-k8s-stack-854b5bffw5mv   2/2     Running     0                5d3h    10.42.7.6      k3d-agent-0-0              <none>           <none>
victoriametrics              vmsingle-victoriametrics-victoria-metrics-k8s-stack-78779c5r6lh   1/1     Running     0                5h30m   10.42.13.135   k3d-agent-3-0              <none>           <none>
