host	path	expected	code	redirect_url	content_type	curl_error	result
qdrant.46.4.123.8.nip.io	/collections	JSON_OK	200		application/json		OK
qdrant.46.4.123.8.nip.io	/dashboard	HTTP_200	200		text/html; charset=utf-8		OK
grafana.46.4.123.8.nip.io	/	REDIRECT_OK	302	https://authentik.46.4.123.8.nip.io/if/flow/default-authentication-flow/?client_id=i1YjPU3JkwXQZ-ebQGSgMjd-6INKSyEf&code_challenge=Qe5uLcFAE_mAFOtngRL-p3BQnq4A-oBF4KyccVlZMNI&code_challenge_method=S256&redirect_uri=https%3A%2F%2Fgrafana.46.4.123.8.nip.io%2Flogin%2Fgeneric_oauth&response_type=code&scope=openid+profile+email&state=pUtO9vYwHABdblUjgM6JfbeMZgB0I-AkEE5zGUpzAtg%3D&next=%2Fapplication%2Fo%2Fauthorize%2F%3Fclient_id%3Di1YjPU3JkwXQZ-ebQGSgMjd-6INKSyEf%26code_challenge%3DQe5uLcFAE_mAFOtngRL-p3BQnq4A-oBF4KyccVlZMNI%26code_challenge_method%3DS256%26redirect_uri%3Dhttps%253A%252F%252Fgrafana.46.4.123.8.nip.io%252Flogin%252Fgeneric_oauth%26response_type%3Dcode%26scope%3Dopenid%2Bprofile%2Bemail%26state%3DpUtO9vYwHABdblUjgM6JfbeMZgB0I-AkEE5zGUpzAtg%253D	text/html; charset=utf-8	Maximum (3) redirects followed	OK
headlamp.46.4.123.8.nip.io	/	HTTP_200	200		text/html; charset=utf-8		OK
litmus.46.4.123.8.nip.io	/	HTTP_200	200		text/html		OK
gitea.46.4.123.8.nip.io	/	HTTP_200	200		text/html; charset=utf-8		OK
mlflow.46.4.123.8.nip.io	/	HTTP_200	200		text/html; charset=utf-8		OK
jenkins.46.4.123.8.nip.io	/	HTTP_200_OR_403	403		text/html;charset=utf-8		OK
awx.46.4.123.8.nip.io	/	HTTP_200_OR_REDIRECT	200		text/html; charset=utf-8		OK
victoriametrics.46.4.123.8.nip.io	/	HTTP_200_OR_404	404		text/html		OK
