LAST SEEN   TYPE     REASON                       OBJECT                                                  MESSAGE
60m         Normal   GitOperationSucceeded        gitrepository/flux-system                               no changes since last reconcilation: observed revision 'main@sha1:0de4268f6519ccfbc4c20540a10082f81f360626'
56m         Normal   ReconciliationSucceeded      kustomization/qdrant-indexer                            Reconciliation finished in 4.488823748s, next run in 30m0s
55m         Normal   Progressing                  kustomization/kubeflow-authz-crd                        Health check passed in 208.461219ms
55m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 5.220408746s, next run in 30m0s
55m         Normal   ChartPackageSucceeded        helmchart/aiot-ml-aiot-ml-platform                      packaged 'aiot-ml-platform' chart with version '1.0.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/terrakube-terrakube                           packaged 'terrakube-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/aiot-cloudbeaver                              packaged 'cloudbeaver-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/victoriametrics-victoriametrics               packaged 'victoriametrics-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   Progressing                  kustomization/kubeflow-profiles                         Health check passed in 72.608935ms
55m         Normal   Progressing                  kustomization/kubeflow-profiles                         CustomResourceDefinition/profiles.kubeflow.org configured...
55m         Normal   ReconciliationSucceeded      kustomization/kubeflow-profiles                         Reconciliation finished in 2.930893373s, next run in 30m0s
55m         Normal   ChartPackageSucceeded        helmchart/observability-logs-alloy                      packaged 'alloy-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/blackbox-exporter-blackbox-exporter           packaged 'blackbox-exporter-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/zabbix-zabbix                                 packaged 'zabbix-overlay' chart with version '1.0.1+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/observability-logs-loki                       packaged 'loki-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/chaos-theater-aiot-chaos-theater              packaged 'aiot-chaos-theater' chart with version '0.1.0+20b7075c2298'
55m         Normal   ChartPackageSucceeded        helmchart/jenkins-jenkins                               packaged 'jenkins-overlay' chart with version '1.0.0+20b7075c2298'
55m         Normal   ReconciliationSucceeded      kustomization/kubeflow-ingress                          Reconciliation finished in 1.089732468s, next run in 30m0s
55m         Normal   GarbageCollectionSucceeded   gitrepository/flux-system                               garbage collected 1 artifacts
50m         Normal   ArtifactUpToDate             helmchart/terrakube-terrakube                           artifact up-to-date with remote revision: '1.0.0+20b7075c2298'
50m         Normal   ArtifactUpToDate             helmchart/observability-logs-loki                       artifact up-to-date with remote revision: '1.0.0+20b7075c2298'
49m         Normal   GitOperationSucceeded        gitrepository/flux-system                               no changes since last reconcilation: observed revision 'main@sha1:20b7075c22983686cde5bc5811763e4ccc39232c'
49m         Normal   ArtifactUpToDate             helmchart/observability-logs-alloy                      artifact up-to-date with remote revision: '1.0.0+20b7075c2298'
48m         Normal   ReconciliationSucceeded      kustomization/argo-workflows-rbac                       Reconciliation finished in 1.087780093s, next run in 30m0s
47m         Normal   ReconciliationSucceeded      kustomization/kubeflow-training-operator                Reconciliation finished in 7.657414161s, next run in 30m0s
47m         Normal   ArtifactUpToDate             helmchart/zabbix-zabbix                                 artifact up-to-date with remote revision: '1.0.1+20b7075c2298'
47m         Normal   Progressing                  kustomization/kubeflow-authz-crd                        Health check passed in 15.33527ms
47m         Normal   ReconciliationSucceeded      kustomization/qdrant-indexer                            Reconciliation finished in 4.506032642s, next run in 30m0s
47m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 4.358356695s, next run in 30m0s
47m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 6.864784051s, next run in 10m0s
47m         Normal   Progressing                  kustomization/flux-system                               CustomResourceDefinition/authorizationpolicies.security.istio.io configured...
47m         Normal   ChartPackageSucceeded        helmchart/aiot-cloudbeaver                              packaged 'cloudbeaver-overlay' chart with version '1.0.0+53a118bf6f45'
47m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 3.849057877s, next run in 10m0s
47m         Normal   DependencyNotReady           kustomization/kubeflow-volumes-web-app                  Dependencies do not meet ready condition, retrying in 30s
47m         Normal   ChartPackageSucceeded        helmchart/victoriametrics-victoriametrics               packaged 'victoriametrics-overlay' chart with version '1.0.0+53a118bf6f45'
47m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 2.276609267s, next run in 30m0s
47m         Normal   ChartPackageSucceeded        helmchart/observability-logs-alloy                      packaged 'alloy-overlay' chart with version '1.0.0+53a118bf6f45'
47m         Normal   Progressing                  kustomization/kubeflow-profiles                         Health check passed in 232.248965ms
47m         Normal   ReconciliationSucceeded      kustomization/kubeflow-profiles                         Reconciliation finished in 7.244456663s, next run in 30m0s
47m         Normal   ReconciliationSucceeded      kustomization/kubeflow-pipelines-crds                   Reconciliation finished in 10.619757253s, next run in 30m0s
