NAMESPACE                    NAME                                                        TYPE           CLUSTER-IP      EXTERNAL-IP                                    PORT(S)                                                                                                     AGE     SELECTOR
aiot                         aiot-control-center                                         ClusterIP      10.43.64.227    <none>                                         8080/TCP                                                                                                    5d7h    app.kubernetes.io/component=control-center
aiot                         aiot-emqx                                                   ClusterIP      10.43.161.254   <none>                                         1883/TCP,18083/TCP                                                                                          5d7h    app.kubernetes.io/component=emqx
aiot                         aiot-emqx-headless                                          ClusterIP      None            <none>                                         1883/TCP,18083/TCP,4370/TCP,5369/TCP                                                                        5d7h    app.kubernetes.io/component=emqx
aiot                         aiot-maintenance-api                                        ClusterIP      10.43.234.109   <none>                                         8080/TCP                                                                                                    5d7h    app.kubernetes.io/component=maintenance-api
aiot                         aiot-redis                                                  ClusterIP      10.43.208.122   <none>                                         6379/TCP                                                                                                    5d7h    app.kubernetes.io/component=redis
aiot                         aiot-redpanda                                               ClusterIP      None            <none>                                         9092/TCP,9644/TCP                                                                                           5d7h    app.kubernetes.io/component=redpanda
aiot                         aiot-redpanda-console                                       ClusterIP      10.43.22.0      <none>                                         8080/TCP                                                                                                    5d7h    app.kubernetes.io/component=redpanda-console
aiot                         aiot-sensor-simulator                                       ClusterIP      None            <none>                                         1/TCP                                                                                                       5d7h    app.kubernetes.io/component=sensor-simulator
aiot                         authentik-outpost-proxy                                     ExternalName   <none>          authentik-server.authentik.svc.cluster.local   80/TCP                                                                                                      13h     <none>
aiot                         cloudbeaver                                                 ClusterIP      10.43.81.51     <none>                                         8978/TCP                                                                                                    5d7h    app.kubernetes.io/name=cloudbeaver
auth                         dex                                                         ClusterIP      10.43.19.152    <none>                                         5556/TCP,5558/TCP                                                                                           5d5h    app.kubernetes.io/instance=dex,app.kubernetes.io/name=dex
authentik                    authentik-direct                                            NodePort       10.43.235.233   <none>                                         9000:30900/TCP                                                                                              5d2h    app.kubernetes.io/component=server,app.kubernetes.io/name=authentik
authentik                    authentik-postgresql                                        ClusterIP      10.43.94.136    <none>                                         5432/TCP                                                                                                    4d15h   app.kubernetes.io/component=primary,app.kubernetes.io/instance=authentik,app.kubernetes.io/name=postgresql
authentik                    authentik-postgresql-hl                                     ClusterIP      None            <none>                                         5432/TCP                                                                                                    4d15h   app.kubernetes.io/component=primary,app.kubernetes.io/instance=authentik,app.kubernetes.io/name=postgresql
authentik                    authentik-server                                            ClusterIP      10.43.159.201   <none>                                         80/TCP,443/TCP                                                                                              4d15h   app.kubernetes.io/component=server,app.kubernetes.io/instance=authentik,app.kubernetes.io/name=authentik
awx                          awx-operator-controller-manager-metrics-service             ClusterIP      10.43.10.47     <none>                                         8443/TCP                                                                                                    5d5h    control-plane=controller-manager,helm.sh/chart=awx-operator
awx                          awx-service                                                 ClusterIP      10.43.139.22    <none>                                         80/TCP                                                                                                      5d5h    app.kubernetes.io/component=awx,app.kubernetes.io/managed-by=awx-operator,app.kubernetes.io/name=awx-web
blackbox-exporter            blackbox-exporter-prometheus-blackbox-exporter              ClusterIP      10.43.188.87    <none>                                         9115/TCP                                                                                                    5d6h    app.kubernetes.io/instance=blackbox-exporter,app.kubernetes.io/name=prometheus-blackbox-exporter
