NAMESPACE  	NAME                           	REVISION             	SUSPENDED	READY	MESSAGE                                                                                                                                                                                                                                                      
flux-system	argo-workflows-controller      	v3.7.3@sha1:bded09fe 	False    	True 	Applied revision: v3.7.3@sha1:bded09fe                                                                                                                                                                                                                      	
flux-system	argo-workflows-rbac            	v3.7.3@sha1:bded09fe 	False    	True 	Applied revision: v3.7.3@sha1:bded09fe                                                                                                                                                                                                                      	
flux-system	flux-system                    	main@sha1:30de0214   	False    	False	HelmRelease/aiot-ml/aiot-ml-platform dry-run failed: failed to create typed patch object (aiot-ml/aiot-ml-platform; helm.toolkit.fluxcd.io/v2, Kind=HelmRelease): .spec.postRenderers[0].kustomize.patches[2].target.resources: field not declared in schema	
           	                               	                     	         	     	CustomResourceDefinition/profiles.kubeflow.org configured                                                                                                                                                                                                   	
           	                               	                     	         	     	Namespace/profiles-system configured                                                                                                                                                                                                                        	
           	                               	                     	         	     	                                                                                                                                                                                                                                                            	
flux-system	kserve                         	v0.15.2@sha1:d623ea29	False    	True 	Applied revision: v0.15.2@sha1:d623ea29                                                                                                                                                                                                                     	
flux-system	kubeflow-admission-webhook     	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-authz-crd             	main@sha1:20b7075c   	False    	True 	Applied revision: main@sha1:20b7075c                                                                                                                                                                                                                        	
flux-system	kubeflow-centraldashboard      	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-ingress               	main@sha1:20b7075c   	False    	True 	Applied revision: main@sha1:20b7075c                                                                                                                                                                                                                        	
flux-system	kubeflow-jupyter-web-app       	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-katib                 	v0.17.0@sha1:5723604d	False    	True 	Applied revision: v0.17.0@sha1:5723604d                                                                                                                                                                                                                     	
flux-system	kubeflow-notebook-controller   	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-pipelines             	2.15.0@sha1:8fe8d7bd 	False    	True 	Applied revision: 2.15.0@sha1:8fe8d7bd                                                                                                                                                                                                                      	
flux-system	kubeflow-pipelines-crds        	2.15.0@sha1:8fe8d7bd 	False    	True 	Applied revision: 2.15.0@sha1:8fe8d7bd                                                                                                                                                                                                                      	
flux-system	kubeflow-profiles              	main@sha1:20b7075c   	False    	True 	Applied revision: main@sha1:20b7075c                                                                                                                                                                                                                        	
flux-system	kubeflow-roles                 	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-tensorboard-controller	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-tensorboards-web-app  	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-training-operator     	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	kubeflow-volumes-web-app       	v1.11.0@sha1:854bd3a2	False    	True 	Applied revision: v1.11.0@sha1:854bd3a2                                                                                                                                                                                                                     	
flux-system	qdrant-indexer                 	main@sha1:20b7075c   	False    	True 	Applied revision: main@sha1:20b7075c                                                                                                                                                                                                                        	
