NAMESPACE                    NAME                                                              READY   STATUS      RESTARTS         AGE     IP             NODE                       NOMINATED NODE   READINESS GATES
aiot                         aiot-control-center-6ffd496596-8z6nv                              1/1     Running     0                6h47m   10.42.9.163    k3d-agent-2-0              <none>           <none>
aiot                         aiot-emqx-0                                                       1/1     Running     0                5h46m   10.42.0.80     cb50aad492c3               <none>           <none>
aiot                         aiot-emqx-1                                                       1/1     Running     0                5h47m   10.42.0.78     cb50aad492c3               <none>           <none>
aiot                         aiot-emqx-2                                                       1/1     Running     0                5h48m   10.42.0.76     cb50aad492c3               <none>           <none>
aiot                         aiot-maintenance-api-54b8df8546-p48jw                             1/1     Running     0                6h47m   10.42.10.50    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-maintenance-train-29672765-jzvw9                             0/1     Completed   0                41h     10.42.10.167   k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-maintenance-train-29674205-4f4lt                             0/1     Completed   0                17h     10.42.13.49    k3d-agent-3-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-4xfhd                               1/1     Running     0                6h47m   10.42.9.162    k3d-agent-2-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-7xph9                               1/1     Running     0                6h47m   10.42.13.123   k3d-agent-3-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-c472m                               1/1     Running     0                6h46m   10.42.7.87     k3d-agent-0-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-k5rq2                               1/1     Running     0                6h47m   10.42.10.47    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-kpbpz                               1/1     Running     0                6h46m   10.42.8.183    k3d-agent-1-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-n4qc6                               1/1     Running     0                6h47m   10.42.8.180    k3d-agent-1-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-qh9t9                               1/1     Running     0                6h46m   10.42.7.85     k3d-agent-0-0              <none>           <none>
aiot                         aiot-mqtt-to-redis-5c8fb8f7dc-r5zpb                               1/1     Running     0                6h46m   10.42.0.64     cb50aad492c3               <none>           <none>
aiot                         aiot-pg-partition-maint-29672835-sgb2v                            0/1     Completed   0                40h     10.42.10.168   k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-pg-partition-maint-29674275-pkfxz                            0/1     Completed   0                16h     10.42.13.50    k3d-agent-3-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-26qgd                                     1/1     Running     0                6h47m   10.42.8.178    k3d-agent-1-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-7pk2h                                     1/1     Running     0                6h47m   10.42.13.121   k3d-agent-3-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-7vvr8                                     1/1     Running     0                6h46m   10.42.7.86     k3d-agent-0-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-9jjl9                                     1/1     Running     0                6h47m   10.42.9.165    k3d-agent-2-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-jft5l                                     1/1     Running     0                6h46m   10.42.8.182    k3d-agent-1-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-jn4d6                                     1/1     Running     0                6h47m   10.42.7.81     k3d-agent-0-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-ngf6s                                     1/1     Running     0                6h46m   10.42.0.61     cb50aad492c3               <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-slrqv                                     1/1     Running     0                6h47m   10.42.0.58     cb50aad492c3               <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-vswfk                                     1/1     Running     0                6h47m   10.42.9.161    k3d-agent-2-0              <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-wbl99                                     1/1     Running     0                6h47m   10.42.10.52    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-wvczv                                     1/1     Running     0                6h47m   10.42.10.46    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-pg-sink-578d7c5fdf-xh7bg                                     1/1     Running     0                6h46m   10.42.13.124   k3d-agent-3-0              <none>           <none>
aiot                         aiot-redis-7d9cd46cc9-vvxcm                                       1/1     Running     0                6h47m   10.42.10.48    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-2886b                           1/1     Running     0                6h47m   10.42.13.122   k3d-agent-3-0              <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-2ptxv                           1/1     Running     0                6h47m   10.42.7.84     k3d-agent-0-0              <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-f9f2m                           1/1     Running     0                6h46m   10.42.10.53    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-gwdls                           1/1     Running     0                6h47m   10.42.8.179    k3d-agent-1-0              <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-hbhxj                           1/1     Running     0                6h47m   10.42.9.164    k3d-agent-2-0              <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-mgsr7                           1/1     Running     0                6h46m   10.42.0.63     cb50aad492c3               <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-wj484                           1/1     Running     0                6h46m   10.42.9.167    k3d-agent-2-0              <none>           <none>
aiot                         aiot-redis-to-redpanda-767d599d66-xbdrr                           1/1     Running     0                6h47m   10.42.10.49    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-redpanda-0                                                   1/1     Running     0                5h46m   10.42.0.79     cb50aad492c3               <none>           <none>
aiot                         aiot-redpanda-1                                                   1/1     Running     0                5h47m   10.42.0.77     cb50aad492c3               <none>           <none>
aiot                         aiot-redpanda-2                                                   1/1     Running     0                5h48m   10.42.0.75     cb50aad492c3               <none>           <none>
aiot                         aiot-redpanda-console-6d7cfbb45c-z452p                            1/1     Running     0                11h     10.42.13.105   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-forecast-train-29674835-q6vgg                         0/1     Completed   0                6h54m   10.42.10.45    k3d-aiot-hetzner-agent-3   <none>           <none>
